text,label
One of the best parts of my job! I get to play with all things pretty #weddingdress…,3
"Missing my home away from home with this guy @ Hilton Head Island, South Carolina",12
it's been a great four years & I'll forever miss preforming under the friday night lights @ Bo Rein…,7
"Thankful for this lovely gem. Believe me, you have wonderful people surrounding you, you just…",8
Today was a good day. Say hello to the new bae I'm ready for #2016 @ Chapman BMW on Camelback,1
I asked E if this looked like a UFO! @ The San Antonio River Walk,2
"(at @user in Tustin, CA)",1
"We tried too many times to not post this @ Peosta, Iowa",2
"'Tis the season to be jolly!' Treat your friends, family or loved ones to one of our holiday…",7
Thanks for making sure I never dance alone. @ Jr Murphy's,0
"Ready to eat.... omg .. #peruvianfood #lunchtime #meeting #birthday @ Miami, Florida",1
Making strides @ Jones Beach Boardwalk,3
They called me a drama queen so I blew them a kiss @ Western Connecticut State University…,9
"I was low key killin shit tonight Dress kouturekonnections @ Pittsburgh, Pennsylvania",1
"Hey y'all, I'll be doing a short #beat set around 5:30-6:00 (ALL ). If you're in the area…",4
"The Arbonne glow. I love our bronzer! #Houston #Makeup #Bun @ Houston, Texas",7
"Crocheting and tv lazy Saturday! (@ Egyptian Rose's Queendom in Chicago, IL)",14
That one time I ran into @user backstage ThrowbackThursday __________________________…,0
"Merry Christmas from us @ Westport, Massachusetts",17
"Thishas got me reminiscing @ Boca Raton, Florida",12
Requested and was deliveredGet Low - Lil John @ Low Key Dueling Pianos,2
Happy mother's day to all you mamas out dere and all you children's mamas so excited to be…,9
When your models take over hair and makeup series! Models: laurenmodeling&…,14
"My sisters are better than yours @ Ottawa, Ohio",8
Best view of the city? #NewYork @ Brooklyn Bridge,1
The best group to go to Fest with @ Ohio University,19
She really liked my shoes @ Disney's Magic Kingdom,3
"@ Lock Haven, Pennsylvania",7
"Lord only knows the soft spot I've got for this beautiful city @ Chicago, Illinois",8
@ St. Louis College of Pharmacy,1
"As American as apple pie #happythankgiving everyone! @ South Bend, Indiana",1
"back where my is @ Manhattan Beach, California",8
"welcome to the world, beautiful Aurora Stone congrats witchcvlt_ she's perfect! @ Rome Memorial…",3
Me and this handsome little dude @ The Art Of Waxing,8
Don't fuck with my I'll break your heart baby #blackbeattles…,15
EVERYBODY GO WATCH MY NEW VIDEO 4TH WORLD FEATURING 40cal_4w #LINKINBIO #4THWARD #YF…,4
Pink out Eden @ Mount Zion Holiness Church,3
Tornado Alley I am at home here,0
"(@ Panda Express in North Hills, CA)",19
We're about 24 hours away from TPH's Holiday Teen Night! #happyholidays @ The Pilot House…,17
Only Fitz and the Tantrums can bring me to Bloomimgton (and Moon Taxi in October)! @ The Bluebird,13
Omg this girl #gorgeous captured by @user such a fun shoot! Hair and makeup…,5
FrontRow Band is BACK in Toshi.!.! TODAY is the 1st day of July 2016 and the 1st day of this…,5
Anybody want coffee? @ Grand Canyon Railway & Hotel,5
"""@LoveMy_Curls: my life lmaooo",2
Meeting Dug and Russell pretty much made the entire trip for Cabbage @ Disney's Animal Kingdom,2
happy Mother's Day yo @ Ya Mamma's,0
We high school musical theatre! #shrekthemusical #JeffersonHS #PurdueConvos @ Rohrman Performing…,0
#YouBettsBelieve I'm staying up past my bedtime for these guys. @ Fenway Park,8
#bestever #omg #amazing #lol @ Jinks Art Factory,2
seriousto with my sista-to-be in SD! @user #popabottleshesgoingcaudle #sandiego…,0
Thank you for always being here when we need you most #anotherAItrip #sickbaby #mcm @ Nemours…,0
The ladies ps. Never looking at the camera #banquet #Stuyvesant @ Kinderhook Elks,3
#TGIF #tksd @ Tilted Kilt Pub and Eatery,9
I live in the most beautiful place in the world! And have the very best friends @ Alhambra Hall,5
"Hello, #Boston. @ Boston, Massachusetts",0
"Merry Christmas (it took me an hour to come up with that caption, hope you guys like it) @user",17
Have I told ya lately your my favorite person in the whole world?…,0
Kids at heart#batang90s #friendshipismagic @ Arcadia County Park,0
New York ain't ready... #BuffaloState #HWS @ New York Strip Clubs,14
Just livin man @ South Beach Miami,6
It's the most wonderful time of the year -#rockefellercenter #christmas #christmastree…,17
Oh I think that I found myself a cheerleader @ University of Iowa Rugby…,3
Gotta take care of the feet. #pedicure #atlanta #atl #friends #pampered #feet #feelinggood…,16
"I think I need a hat like this #cutefilter #snapchat @ Georgetown,…",2
Favorite cake hands down @ Johnson & Wales Harborside Campus,5
️ @ Mickey's Very Merry Christmas Party - Magic Kingdom,0
Last night was dope @ The Tree of Joliet,19
@user @ The Other Place,9
"KREAM ALWAYS RISES to the TOP A queen must not only be a face, but…",7
Christmas time is here! #christmas #christmastree #nutcracker @ Van…,17
"When you living and not just existing.... #PhotoBy @user @ Houston, Texas",10
Breakfast with my main squeeze. Went back to where we first met @ George House Coffee & Tea,9
La Flame ! New |Brotherhood| SnapBack at @user . @ Eight 1 Eight,4
"Who's crazy enough to throw you in the pool while you're DJing? Great times at my fav place,…",2
Every time I find a new Taylor Swift lyric page I have to RT a bunch of their latest tweets,2
my heart @user @ Huntington Beach - State Beach in California,0
Sleek London style in Midtown OKC complaints of TRADE. You're welcome The epitome of…,6
Happy teal Tuesday! This was me exactly one year ago btw have you voted yet? @ Coastal Carolina…,3
Typical bathroom @ Disney Springs,18
"Last Day! getn one of Everything @user #DC (at @user in Washington, DC w/ @user",1
army of me @ Cascada Refrescante Ice Cream Shop,1
"Comment @ Menlo Park, California",15
S H O P B L A C K S N O ENTIRE SITE HAS BEEN MARKED DOWN NO DISCOUNT CODE…,7
"poor quality pic, high quality bestie @ Alpha Gamma Rho-Theta Chapter",4
"(at @user in Brownsville, TX)",1
Goodbye. @ Hollywood Studios Walt Disney World,13
As long as all hearts and minds are clear...#fatandhappy @ Halcyon East Village,2
"Christmas with the pups @ Laguna Beach, California",6
Grumpy on Monday mornings? Hope this help. #grumpyhour #fetco #coffee #cleveland…,14
Can't wait for @user,8
My first ever darty with my amazing @user @ Ball State University,9
Thanks for always making me feel like family! Love you guys! …,9
My @ Grove Flagstaff,0
Forget Disneyland. This is the happiest place on Earth #newyork…,1
...8.3.16 @ Dee Wright Observatory,18
When you make a great impression at your best friends dinner ... shout…,2
A selfie with baby Laurel. she is sssooo adorable! @ Yeiser Art…,1
Who's excited I know I am nbcblindspot @ Clarks Home,0
"Fun time this morning at @user Loved working with these girls again too! bnestle, thanks…",5
Merry Xmas! coochielala @ Blacknose Trading Company,0
U Knew though #Balmain @ H&M F Street,19
In love @user @ The Landing,1
"(@ Chatterbox Pub in Saint Paul, MN)",3
Can't tell who I look more like in this picture? love my mom and dad.…,2
"@ Times Square, New York City",11
"In stock at 1714 Telegraph.Asics Gel-Lyte V ""White/Cement"" by elzapatillaztio #asics #kotd…",10
Thanks for helping me move but y'all still get on my nerves…,0
"jump off @ Albany, New York",15
"Best friends @ State St. Santa Barbara, Ca",0
I just got the best private phone call of my LIFE! Thank You JESUS!,2
My wedding date seanpatmac #cloudbarrio @ Carlyle on the Green,1
And when the lights start flashing like a photo-booth @ Newport Centre,18
Family Polaroid minus take_me_to_callie @ Joe's Touch of Italy,0
#LoveSick is finally available for you to download!! Click on the link in my bio right now and…,16
Connecticut style lobster roll is a requirement for a summer Friday. #nolobsteremoji…,0
@user nah pretty sure it's Jackson's great jokes,14
SALE time! 30% off All accessories in store this week! Both locations. $10 scarves.…,0
Had a blast at the Jackrabbits game. don't mind my perfect…,16
So thankful for these people in my life @ Ford Field,0
"So much love for you cutie @ Winona, Minnesota",0
"#Smile, #God #Loves You! # I need that #positive #optimistic #inspiration #message. I'm sick…",0
This guy... #FamilyIsForever #Zuricata #Zurielone #Miwer @user,0
Love Life @ The High Line,0
There's no place like @user #EauxClaires : crenickmayer @ Eaux Claires,10
#Campfest2016 @ Adirondack Mountains,4
wow i guess i am worthless THANKS YOURE SUCH A GREAT FRIEND,2
You know the bruhz never on time. So don't show up right at 3 sorry,2
TIMES SQUARE @ New York Time Square,0
good day @ Dutchman's Landing Park,3
@user except for your friend,2
Thank you for capturing this moment & Thank you to everyone that came out last night You…,16
"Made Especially For GRACIE In Val Caron, Ontario Heal Quickly, My Sweet ! @ Val Caron",0
Time with my favorite boys @ Harmar Tavern,1
Beauty is all around us...just open your eyes @ Pinnacles National Park,0
Can't wait to go home and be reunited with jlindy721 and okstatecheerdad for three weeks! @user,0
Dinner with babe for my 18th @ Red Lobster,9
Such a great way to spend the last day of 2016 #NewYearsEscape2016…,0
"UIL MARCHING BAND CONTEST (@ Alamodome for UIL State Marching Band Championships in San Antonio, TX)",8
Drove all the way to Willy P with my best friend to reunite with my sissy @ William Paterson…,3
Her entourage...we got her back foreva foreva eva…,0
"#whereisteamsmith? Karin is repping Team Smith in Bear Tooth Pass, MT! Thank you, Karin! …",0
️ @ Ritz Carlton Hotel,0
Hanging out #hanger24#hang#hangover @ Hangar 24 Craft Brewery,14
"Guess who's back... @ Clear Creek High School (League City, Texas)",4
Oh Disneyland beignets you are love covered in powdered sugar @user,3
Hehehehe #boys out and about # #thepurplepig #chicago #nightout @ The Purple Pig,16
"Reunited with my best friend four months is to long lindsay_simon97 @ Niles, Ohio",0
Sec09 #gadisselam @ My G.I.R.L.S.,9
I absolutely loved this look #babyshower#flowergirl #urbandecay…,1
@ Empire State College-State University of New York,2
"Endless throwbacks from Cali :)#JABxCOUNTRY #Cali : @user @ San Diego, California",10
"These ones too #instagramlesszoot @ Detroit, Michigan",15
"road tripping Miami to LA 2 years ago, at the height of my yogi bohemian-ness @ California…",8
You don't have to be outside to enjoy a Saturday night scoop Come visit us at any of our NYC…,19
My Partner in Crime struttin #pescaderopoint #17miledrive #ペスカデーロポイント #17マイルドライブ #ベイエリア #海 #浜辺 #ビーチ…,6
First time #steelwoolspinning and have to say I am hooked. I still have to figure out how to…,4
Saturday family date #golf #springisintheair #familyfun #lovemylife #myboys #startemyoung @user,0
Sometimes a little touristy is ok... #socalliving #goodtimes #madeinLA @ Griffith Observatory,5
Super excited for baby Myles!! @ Jake's Restaurant,8
"My little diva was being very photogenic tonight @ Goshen, Ohio",18
#Repost playerstribune with repostapp・・・That makes two for Cleveland. #WorldSeries• :…,10
Hard to be stoked for football season when HOCKEY'S BACK #vscocam #usa #wch2016 @ Nationwide…,11
My #SNapChat is @ BlueRizzy Wit @user @user carmen_hodgsonAnd Thanks @user,4
"Fun night, good food and the ChristKinglMarket with my fiancé @user annual #ChristmasDate…",9
"Coming soon to the blog... : kreations.by.kendall @ Minneapolis, Minnesota",18
Bikini goin downnnnnnn every Thursday!!! #Vegas #senorfrogs #djlife #soundbiteproductions @user,5
"Set out to win, no matter what #IMagery #Friday #salute #potd #motd Follow @user …",18
"Everyone, I'm here for you #fortunecookiechristmaseve…",14
#good : @user of Wisdom for real.#hijabi #hijabber #islamicstore #shopmodah…,10
Follow my bro kenstarrz for more foolishness .....Clapback Season On...Dinner Wasnt…,2
we drove 7 hours to see familiar friends and a new one thank yøu twentyonepilots jonbellion @user,0
How I spend my Saturday. @user #tattoos @ Grit N Glory,1
Just finished the movie and I no longer have the ability to cry the movie was 2 1/2 hours long…,2
My #gorgeous #bride and her #dashing #coastguard #groom ! Amazing by @user,10
Probably the latter come see me at @user this week and I'll…,14
Weekly Special: Ham and Cheese Croissant w/ choice of side $8 (shown w/ bacon cheese tots) #soccerhaus…,1
Accident waiting to happen!!!! @user @user,2
Fun night #boise #downtown @ Fatty's Bar,5
@ Wilma Rudolph Event Center,2
#flashprayer #GUMY #30hourfamine2016 #painttheworldwithkindness #changetheworld awesome kids @user,9
glad I got to go home this week and surprise her @ N.C. State Fair,3
#ComeGetYourHairKissedByAQueen #relaxerdoneright #healthyhair This young lady hair has grown…,2
Thank you @userwith repostapp・・・Thank you @user for sponsoring a fun…,0
ITS A BOY can't wait for baby Brycen Chase to be here!!!! @user,8
Had tons of fun climbing yesterday!! Can't wait to do it again Thursday!! #RockClimbing…,16
"Making this Christmas a-door-able @ Henley Hall, Chapman University",17
Dr. Garza is the best Orthodontist I've had. I'm so happy! Thank you! #smiling…,16
Pure happiness @ Gardner-Webb University,0
The best burger EVER!!! #TheVortex #ValentinesDate @ The Vortex L5P,1
"Tb# @ Miami Beach, Florida",11
First week of #Novemberand we still have #toesinthesand! #lakemichigan #water #beautiful #peace…,0
Hello from LA! #blurred #losangeles #letthegoodtimesroll #musicbiz #dreambig #excitingtimes…,6
On the beach. #miami #miamibeach #sobe #usa #ilovemiami #summer #vacations #fun #instatravel…,11
Mom & Dad visited me at work yesterday before leaving on their trip …,5
be careful to your friends the are the only who give you the smile#FriendsIsYourNewFamily…,0
@user that deserves a follow #sapiosexual,1
"Winter Sixteen @ New York, New York",9
easy like sunday mornin @ Pensacola Scenic Bluffs,12
We Otta be ashamed of ourselves sophiamissnmymom @ Red Lobster -…,2
"""You know you make my world light up"" #cheesin @ New York, New York",7
All you need is love and a dog #dogsofinstagram #hike @ Mission Trails,0
CODE BLUE @ Yura's Blue Plate,8
Had an awesome Dinner with my Wife last night @user English's Olives Restaurant and had a…,13
Happy early bday nate @ Air Canada Centre,0
My lunch dates. @ Chick-fil-A at Georgia Street,0
@user Thanks Paige!!!,5
I love wearing these!!! #deadmau5 #Echostage #mischiefnight @user @user @user @user,2
Weekend shenanigans @ Downtown Los Angeles,19
"Take your burdens to the cross, and leave it there. Such a…",0
"Inside the Oculus, USD 4 billion new train station opened in March 2016 (with Yudith at @user [pic] —",6
Sweet Caroline! Good times never felt so good!! #thankyoupsusd @ Beaver…,8
"#5. If you need a hug, come to our church, and granny will be there #easter2016 #easter…",5
Awesome day for a family stroll#happythanksgivingcanada…,0
these are the nights i live for with my zing @ Sprint Center,0
"#YeaterdaysFlow with the Sibs @ Dunwoody, Georgia",1
It's Fringe Friday! We are so excited to introduce ASTARS to Simpatico #Repost from…,7
@user Dab On Em Video On Youtube Now #dabonem #dab #sologang #younglegend$ #1000g…,4
Birthday Girl! Happy Birthday @user !!!!...#hbd #nyc #blondesnightout…,0
Sorry we didn't get you a present.. Splurged on a new sweater instead. #woreitoutofthestore…,0
@user @user golddust @user Wrestling Family Forever …,0
"All I want for Christmas is you @ Ann Arbor, Michigan",0
tired eyes were better when they were from waking up early on the beach for the sunrise. @user,12
Yeet @ West Chester University of PA,12
Chicken Alfredo @ Bailey's Grove,16
Hey gorgeous. #Seattle #spaceneedle #racecation @ Space Needle,1
We scrub up ok sometimes #declanmarriesshari #thebest @ Five Bridge Inn,1
Supes cute Happy Grand Opening blackfilenails!! @user @user @ Black File -…,3
18 Roshi 5ever @ McCasland Field House,8
i'm feelin it #feelthebern #tampa @ Expo Hall - Florida State Fairgrounds,4
"No children were harmed when taking this picture. Ok, Alex got hit in the head, but he's ok …",16
Disney @ Disney California Adventure Park,0
"Coffee date with Mandi and Marlee (@ Starbucks in Phoenix, AZ)",0
Today's the day we start working for that titleee …,6
"Back day Credits: s_k.y @ Planet Fitness - Findlay, OH",4
"Christmas Eve in Glen Ridge - adorable! @ Glen Ridge, New Jersey",17
Dumplings...Yummers @ Kogiya Korean BBQ,1
"Queen Sutton Foster sang ""Maybe This Time"" for her beautiful princess Mabel #humanesociety…",0
New York @ Central Park,0
"yeah you wish nigga @ Plano, Texas",2
#MerryCHRISTmas everyone from our house to yours…,17
@ Smithsonian’s National Zoo and Conservation Biology Institute,6
Me and my bitch melissa1376 @ St George Elementary School,9
Breakfast with Sutton #citygirl @ Cheapside Cafe,3
Drinks with tha girls and a view @ 230 Fifth Ave Rooftop Lounge,1
"When you are offered a direct flight, then those massage chairs start to look real good Thank…",5
this #wcw goes to my two goofy gals staciezumbek @user @ Disneyland,9
They love me out here! #paparazziLife @ Oakland-SF Bay Bridge,10
So.. found Dick's last resort in #SanAntonio.. these guys are off the chain! #arma2016…,2
"I can't help but hold a smile, it's the cure to life : @user @ Las Vegas, Nevada",18
Love this photo! @ A Mountain Sentinel Peak,5
"three years in the making @ Norman, Oklahoma",9
Can I get 5 alarm fire shout out for @user Ana Mari de Quesada! Who happen to be…,4
Back at the Sip with the bestie #coffeedate #foreverfriends @ Sip Coffee House 2,3
"Waited all week for this! So did Sammy #boxers #homemadewaffles @ creekside, The woodlands TX",0
@ Disney's Magic Kingdom,7
"Dinner (@ The @user in Las Vegas, NV w/ @user",0
Love these girls #neveradullmoment #friends #adventures @ Friendlys Restaurants Franchise Inc,0
HE KEEP DUCKING OFF ON MY I'M CATCH ONE OF THESE ROOM & NAP,2
Spending time with the first born . Caponee #vet #pitbullmix #oldie @ Chino Hills Small Animal…,1
This!!! The Leaf Sumatra oscar_valladares_tobacco @user #nowsmoking #cigars #lotl…,1
The boys and I by @user #Senna #Ronin @ Neo,18
"Games of Texas weekend...it's officially over! @ McAllen, Texas",7
Sunrise over NYC!!#nyc#newyorkcity #jfkairport #deltaairlines #INY @ JFK International…,0
She's so cute. @user @ The Haunted Isle,1
@ Wesley Chapel Athletic Fields,13
Freedom don't come free RESPECT @ Home Sweet Home Goochland,11
"Thanks for putting up with me when there's no more bagels left @ West Chester, Pennsylvania",0
"#ZÄDOmusic #RockMusic #LiveMusic #America @ Upland, California",11
We Up @user #trap #view #theweston #lit #bae #stoned #stuffcrust #baked…,6
️ @ Soak City (Kings Dominion),0
Women make u do the craziest shit Credit: xoxo_taniaa @user @user Check out…,2
"Cousin love, even though Michelle didn't go KD! They still love each other!! @ Sorority Row",0
"it's never a goodbye, just a see you soon @ Tacoma, Washington",0
Sending prayers to my baby cousin tomorrow for her ACL surgery You're going to do great!! I…,0
Also this happened!!! @ Silver lake- Echo Park,13
The #DjMixer was lit Go support my new single #donflamingopart3 on all streaming sites RIGHT…,4
Mothers Day Lunch with the brothers and one grandma …,1
My noodlebug stay ready @ N Maw Maws Bed,10
Enjoying a Mother's Day weekend with mom and sis #memphisbotanicgarden then a relaxing lunch…,0
#mcm to @user take me back to last Monday!! #futurenowtour #irvingplaza #nickjonas @ Irving…,1
This is our official invitation for @user to join us at Trader Todds for karaoke post-show …,6
LADIES COME GET WET WITH CHAMPAGNE TONIGHT!!! FAMOUS TWERK MONDAYS BATTLE FOR THAT BOTTLE…,4
Shooting a few days ago on the beautiful island of Mallorca!,18
It's Christmas lunch! Family with new entries! @user,2
So incredibly proud of these beautiful ladies on their grand champ title @ Brookfield Central…,8
#Perfection #LatePost I was starving!!! #BirthdayDinner #3 …,5
Sneaky Ass Fool. #AngelCityBrewery #DTLA @ Angel City Brewery,6
"Finally #almarue @ San Francisco, California",0
I am going to go to a photo shoot with my fam and I really want it to be perfect. And I wana look like fire and SLAY it,4
Miss this night #risefestival @ Mojave Desert,7
Less than a week until I am reunited with this Hottie #mcm like…,0
HAPPY NEW YEAR 2017 Thank you for a great 1st year! WE YOU! #health #happiness #joy #family…,0
Finally a little girl to love and play dress up with! Lil' Sammie…,0
"Thought I should do something spontaneous #selfportrait #dyedhair @ Pacoima, California",6
X-mas eve dinner out w/ the fam. Oh how I've missed my cousins especially baddgalhinky! …,0
Warm yourself up in FITBarre Cardio tonight at 6:00pm with Laken. #burnyourbooty #barrework…,4
Showtime. #BurlesqueBrunchLA #sing #dance #performance #sofitel #jazz @ Sofitel Los Angeles…,6
There will always be a little more love...than she wants. LOL. #enduring #crazygirl @user,9
I am my brothers keeper nino_porter @user @ MacMurray College,15
May your day be merry and bright! Merry Christmas and Peace to all! #verymerry #peace…,17
"Ricky Ricardo loves Lucy @ New York, New York",0
"Outtake from shooting coworker #headshots earlier today. @ Washington, District of Columbia",2
Went to every park and got the collectible Starbucks mug! I'm white. @ Orlando Fl - Walt…,5
Yummy! Celebrating 5 years of Mawwige @ Mimi Cheng's Dumplings,1
This pretty girl brings me a whole new level of winning …,1
Good morning New York @ George Washington Bridge,7
Officially on beach time and we officially have a little beach babe #ourelliottgrace…,12
You see that handsome fella in the blue? That's who I do it for.... @user,1
@user @user nigga idk,2
Picking out my boat!!! @ Harbortown Marina - Fort Pierce,14
Miss sharing a room with these 2 @user @user,2
Michelle Farmer Studio of Dance and Modelling 43 years running @ Six Nations Reserve,0
The Feast that nourishes and sustains: great Thanksgiving joy @ St.…,0
@user Had the most amazing experience Thank you for…,7
HAPPY MFN BIRTHDAY SWAE AND FETTY @user @user @user @user @user @user @user @user @user,13
Killed them #shoukdersandtraps today. @ JABZ Health & Fitness,4
Wasssssupppp!! @ Ten Pin Alleys,2
WWJD: what would @user do. - @user @user Because she is our inspiration on how to be a nice person.,0
love of my freakin life charlieputh #JingleJam @ Infinite Energy Center,0
last week w these baddies @ Baladna Restaurant & Lounge,1
"Sweet Micky (@ Whitehall Restaurant in Sunny Isles Beach, FL)",19
"Hanging with some of the best sisters that a girl could ask for. @ Huntington Beach, California",3
My handsome wedding date can't believe my baby bird @user tied the knot!…,3
Conquered the Mountains with some real one's @ Great Smoky Mountains,15
"Nyc a little while ago. @user @ West Village, Downtown Manhattan",10
"Mmmm, I wish you guys could smell &taste how good this is right now.! #sweetgreen #georgetown…",16
@user bringing that @user @user @ Christ Fellowship Royal Palm,4
The hardest part of being in shape but this is the money maker .…,15
"I was sad, so my 3 y/o niece told me I can be Sheriff Callie too! …",0
Loving the intricate lace details of this sweater dress so much This dress is under $30 and…,1
"The new tennis courts have been a big hit this summer, wonder why.. Bring your friends and…",1
Make sure y'all go grab @user new project on #itunes #applemusic #tidal @ City of…,4
"Fuego Friday, baby (at @user in Mobile, AL)",4
Because I missed my best friend over break. I loved spending the day with you my love @ Aquinas…,9
"happy monday @ Florida, Orlando",12
Homegirl on vacation... She met me at my door like unique_eyezz @ South…,19
Seriously I'm on diet @ Golden China Buffet Delano,2
"Lit (N) - ... Man when you TURNT, okay? @ Will's Social Bistro & Lounge",19
"Me, I'm just done in the hype. :@triplelvisuals @user Feature on the way.. @ Atlanta -…",18
Wedding fun @ Camp Mad Anthony Wayne Lodge,13
"7 months and thriving #ilovemydog #germanshepherdsofinstagram @ Scottsdale, Arizona",8
"@user I knew you'd like that. dude when he gave them to me he said ""little teen trio girl, come here I have candy for you""",19
I have a love affair with this city that will never end #sundaysunset #NYC @ Google Creative Lab,0
#Repost @user ・・・Sisters @ Woodridge Ilinois,0
@ Mt. Mitchell Overlook- Blue Ridge Parkway,5
I love you though ulivinorexistin but you know what that henny do @user,9
Me & all my niggas doing well @ Lodo's Bar and Grill,6
Working some kinks out praise the lord lol it's amazing to wake up and just be able to do what…,5
On a high note tho #mondaynightvibes #smile #cheesin #happygymsesh #lifterclothing #gymlife…,16
"Peaceful day on the river @ Chimney Rock, North Carolina",0
Ion want no bih who gets 2hunnet likes on flick I wanna bih who gets 1 like on her flick !!,2
"Sunset in North Carolina.#familyvacation #lovemylife @ Little Switzerland, Blue Ridge Parkway NC",0
"Spring breakin @ St Augustine, Old City",6
Grandpa and his girls #southernerstakeover @ Burgess-Snow Field at JSU Stadium,0
A different kind of before & after ... my view from the stairwell pre- and post- AM workout.…,2
"Oh my, this is a breakfast beer Fr Fr Fr - Drinking a Wigsplitter at @user -",15
I bet I'm the only min pin that sleeps in bed with my mama #sleepytime #minpinlife #minpinlove…,2
Friends + Neighbors. @ Friends & Neighbors,0
#Manhattan meet @user rolling patiobox #nyc #garden #work #10ave #grateful #thankyou…,19
Rae Sremmurd Live In #OKC!!!! #SremmLife#HipHop #CoreDJs @ OKC Farmers Market District,4
Chillin' #ft86 @ Race Trac 15570 State Road 535,6
"Happy Friday #TGIF #Viernecito #ReadyForTheWeekend @ Irving, Texas",7
Good ol Billy Bob's #everythingisbiggerinTexas @ Billy Bob's Texas,11
@ Gooseberry Falls State Park,1
"Still can't get over my beautiful sister's wedding, so elegant! I love you giselle__d I can't wait…",9
#becollaborative #omni thanks for the awesome getaway love this view…,3
She hates me but it's okay @ Nca Nationals Dallas Texas,0
Dare to be different. therealmattlove....#pride #gsa #beauty #colours #wings #festival…,10
"#tbt to last night. Love this girl too much. Too, too much.…",0
When someone steps on your new shoes #dead,2
Much love for my bud @ Riverside Local Schools,0
Baby's first Christmas @ Pecan Creek Homes,17
Real Niggas in the Building!! @user #CMG #Mister20Seven #Key2DaStreetz #2nd2None…,15
Good Morning Miami #grateful #beautiful #miami #happy #healthy #morningwalk #thankyoulord @user,1
PFEW reunion after 2 years!!! @ Penn State University,8
Big thanks to my guy @user great care package he sent a…,15
Squad goals @ American Club Pavilion I Coplay,15
#colonialarchitecture #portofmiami #bayside #miami #mdcmiami #florida #usa @ MDC Museum of Art…,11
Kids enjoying the parade. Free candy! Haha @ Diamond Lake,11
Tune in! 12:37am on CBS @user #børns @ CBS Television City,7
Only 4 years old Zander and Erick sparing!#fightstance #guard #combination #footwork…,15
"I look Ok but I was actually getting sunburned, oh it hurts now @ Oceanside, California",16
# @ Cleveland(The Land),2
LVE my Jaxon!!!So handsome!#grandsaremyworld…,0
Hershey Park Christmas Candy Lane @ Hersheypark,17
"I need to get my eyebrows done. || : ankmat @ Brooklyn, New York",10
"Cultural day with an American sized Mexican breakfast and my favorite Englishman @ Hillcrest,…",12
senior night @ Terre Haute South Vigo High School,3
"When it's #SEO time, you gotta put on your serious face! #search @ 887 Media",14
Had an amazing upper body workout and HIT cardio with my partner in crime; the body is getting…,4
My kind of winter ..#sanfrancisco #sfo #igsanfrancisco #architecture #sunsetdistrict…,4
1st place feels so great @ U.S. Cellular Center,0
Breakfast time! Corn beef chunks with scrambled egg and soughdough #lorisdiner #sf…,1
